ryba;der Fisch
gekon;der Gecko
chomik;der Hamster
świnka morska;das Meerschweinchen
wąż;die Schlange
gryźć;beißen
królik;das Kaninchen
"uważać; być ostrożnym";aufpassen
żaba;der Frosch
zdejmować (ze ściany);abhängen
kanarek;der Kanarienvogel
szczur;die Ratte
terrarium;das Terrarium
papuga;der Papagei
ferie jesienne;die Herbstferien
Dzień Jedności Niemiec;der Tag der Deutschen Einheit
naprawdę szkoda;echt schade
Takie jest życie;So ist das Leben
Zobaczymy;Schauen wir mal
cieszyć się;sich freuen
dostać;abbekommen
niesamowicie;total
zapraszać gości;Gäste einladen
bawić się dobrze;sich amüsieren
przewodnik;der Guide
naprawdę świetny;echt super
rozmawiać;sich unterhalten
cieszyć się na (coś, co będzie);sich freuen auf
pod okiem instruktora;unter Anleitung
kompleks;der Komplex
dostawać prezenty;Geschenke bekommen
super;super
doświadczony;erfahren
nie mam pojęcia;keine Ahnung
nudzić się;sich langweilen
dobrze się bawić;Spaß haben
pomiędzy;zwischen
dywan;der Teppich
przemeblowywać;umräumen
przestawiać, przełączać;umstellen
ukraść, buchnąć;klauen
nad;über
wisieć;hängen
głaskać;streicheln
podłoga;der Fußboden
ściana;die Wand
zmieniać;ändern
szuflada;die Schublade
mysz;die Maus
drzwi;die Tür
karmić;füttern
obok;neben
za;hinter
żółw;die Schildkröte
